Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Norway,NOR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Nepal,NPL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Nauru,NRU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
New Zealand,NZL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
OECD members,OED,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Oman,OMN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Other small states,OSS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Pakistan,PAK,Wholesale price index (2010 = 100),FP.WPI.TOTL,62.41456916,78.21623603,83.89943127,100,118.8338307,127.2723689,137.1839631,143.7276874,140.1081142,142.4534039,147.3985022,159.601892,180.0123881
Panama,PAN,Wholesale price index (2010 = 100),FP.WPI.TOTL,89.11814153,103.1789699,96.27082378,100,111.8600031,117.1328137,117.3009323,115.3904937,108.8033012,107.9168577,,,
Peru,PER,Wholesale price index (2010 = 100),FP.WPI.TOTL,91.78056954,99.95547112,98.20120596,100,106.3378617,108.2208015,108.6328642,110.6241981,112.5844958,114.4868776,115.6540162,117.5665992,118.9489619
Philippines,PHL,Wholesale price index (2010 = 100),FP.WPI.TOTL,88.08262494,98.51340807,94.43554679,100,108.6526221,109.8722845,111.6299125,114.6770153,110.2377726,111.4985011,116.3853641,124.5616196,
Palau,PLW,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Papua New Guinea,PNG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Poland,POL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Pre-demographic dividend,PRE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Puerto Rico,PRI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Portugal,PRT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Paraguay,PRY,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
West Bank and Gaza,PSE,Wholesale price index (2010 = 100),FP.WPI.TOTL,87.68950006,97.07986772,96.4301748,100,103.7602409,104.7238115,105.5415456,107.1081651,108.4066084,110.1637519,108.874534,110.020271,
Pacific island small states,PSS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Post-demographic dividend,PST,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
French Polynesia,PYF,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Qatar,QAT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Romania,ROU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Russian Federation,RUS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Rwanda,RWA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
South Asia,SAS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Saudi Arabia,SAU,Wholesale price index (2010 = 100),FP.WPI.TOTL,90.69330601,98.83879781,95.83333333,100,104.2520492,106.8476776,108.1454918,108.6919399,108.3558823,111.2078309,109.7636913,127.3385976,
Sudan,SDN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Senegal,SEN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Singapore,SGP,Wholesale price index (2010 = 100),FP.WPI.TOTL,103.1282139,110.9016112,95.48337333,100,108.416181,108.930408,106.0165195,102.4944364,86.781225,80.7718975,86.45443378,104.8455177,105.3928022
Solomon Islands,SLB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sierra Leone,SLE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
El Salvador,SLV,Wholesale price index (2010 = 100),FP.WPI.TOTL,95.82057867,106.173662,95.32552983,100,114.4379235,112.0936628,108.554247,110.8436637,111.345097,108.445562,,,
San Marino,SMR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Somalia,SOM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Serbia,SRB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),SSA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
South Sudan,SSD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Small states,SST,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sao Tome and Principe,STP,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Suriname,SUR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Slovak Republic,SVK,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Slovenia,SVN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sweden,SWE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Eswatini,SWZ,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Seychelles,SYC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Syrian Arab Republic,SYR,Wholesale price index (2010 = 100),FP.WPI.TOTL,108,115,145,,,,,,,,,,
Turks and Caicos Islands,TCA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Chad,TCD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Togo,TGO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Thailand,THA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Tajikistan,TJK,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Turkmenistan,TKM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
