Exports??and??imports??(%??of??GDP) rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
159, Tanzania (United Republic of),47.6,56.2,54.4,48.6,45.4,40.8,35.4,32.2,0
77, Thailand,127.3,139.7,138.5,133.4,131.8,125.9,122,122.5,123.3
131, Timor-Leste,150.9,137.8,133.8,130.9,155.9,129.9,118.8,121,0
167, Togo,90.3,93,107,118.1,105.4,107.4,90.1,77.4,74.3
105, Tonga,72.7,77.2,77.8,82.9,74.2,81.7,89.4,94.8,0
91, Tunisia,104.1,104.5,106.5,103.5,100.8,91.1,90.7,99.5,0
59, Turkey,45.9,52.7,52.2,50.4,51.4,49.3,46.8,54.1,60.4
108, Turkmenistan,96.9,111.1,109.3,98.6,91.1,81.3,62,53.6,35.2
159, Uganda,45.7,52.9,53.3,50.9,46.3,47.7,47.1,43.5,47.8
88, Ukraine,98.1,106.2,104.1,95.2,100.7,107.8,105.5,103.7,99
35, United Arab Emirates,141.3,151.8,165.1,165.5,168.1,175.2,176.7,172.8,161.8
15, United Kingdom,58.5,62,61.1,61.1,58,56.2,58.1,61.4,61.3
15, United States,28.1,30.8,30.6,30,30,27.7,26.5,27.1,0
57, Uruguay,51.7,53.2,55.1,49.7,49.1,45.3,41.3,39.8,40
108, Uzbekistan,59.3,63.5,59.8,57.5,35.9,30.4,29.7,45.7,67.8
141, Vanuatu,99.4,94.3,99.9,99.1,97.9,0,0,0,0
96, Venezuela (Bolivarian Republic of),46.1,49.6,50.4,54.3,48.1,0,0,0,0
118, Viet Nam,152.2,162.9,156.6,165.1,169.5,178.8,184.7,200.4,187.5
143, Zambia,67.9,76.2,79.1,84.6,80.1,79.9,74,68.9,75.7
150, Zimbabwe,83.1,89.5,74.2,58.7,54.7,56.7,51.2,48.3,48.4
0,World,55.8,59.7,59.3,59.2,58.8,55.6,53.7,55.5,69.9
